name  from_junction  to_junction        qext_w  \
22                   0.286396       NaN        NaN      0.0431        True   
23                   0.057279       NaN        NaN      0.0285        True   
24                   0.844869       NaN        NaN      0.0545        True   
25                   0.305489       NaN        NaN      0.0545        True   
26                   0.023866       NaN        NaN      0.1000        True   
27                   0.052506       NaN        NaN      0.0285        True   
28                   0.019093       NaN        NaN      0.1000        True   
29                   0.042959       NaN        NaN      0.1000        True   
30                   0.028640       NaN        NaN      0.1000        True   
31                   0.023866       NaN        NaN      0.1000        True   
32                   0.019093       NaN        NaN      0.1000        True   
33                   0.028640       NaN        NaN      0.1000        True   
34                   0.125695       NaN        NaN      0.0545        True   
35                   0.028640       NaN        NaN      0.1000        True   
36                   3.961814       NaN        NaN      0.1000        True   
37                   0.572792       NaN        NaN      0.0431        True   
38                   0.520286       NaN        NaN      0.0431        True   
39                   0.330945       NaN        NaN      0.0825        True   
40                   0.291169       NaN        NaN      0.0431        True   
41                   0.798726       NaN        NaN      0.0285        True   
42                   0.028640       NaN        NaN      0.1000        True   
43                   0.539379       NaN        NaN      0.0545        True   
44                   0.124105       NaN        NaN      0.0545        True   
45                   0.152745       NaN        NaN      0.0431        True   
46                   0.057279       NaN        NaN      0.0285        True   
47                   0.386635       NaN        NaN      0.0431        True   
48                   0.388224       NaN        NaN      0.0431        True   
49                   0.052506       NaN        NaN      0.0285        True   
50                   0.412091       NaN        NaN      0.1000        True   
51                   0.023866       NaN        NaN      0.1000        True   
52                   0.028640       NaN        NaN      0.1000        True   
53                   0.019093       NaN        NaN      0.1000        True   
54                   0.028640       NaN        NaN      0.1000        True   
55                   0.033413       NaN        NaN      0.0285        True   
56                   0.420048       NaN        NaN      0.1071        True   
57                   0.019093       NaN        NaN      0.0285        True   
58                   0.499604       NaN        NaN      0.0545        True   
59                   0.033413       NaN        NaN      0.1000        True   
60                   0.019093       NaN        NaN      0.1000        True   
61                   0.023866       NaN        NaN      0.1000        True   
62                   0.023866       NaN        NaN      0.1000        True   
63                   0.028640       NaN        NaN      0.1000        True   
64                   0.047733       NaN        NaN      0.0285        True   
65                   0.383451       NaN        NaN      0.1000        True   
66                   0.033413       NaN        NaN      0.1000        True   
67                   0.424821       NaN        NaN      0.0545        True   
68                   0.743041       NaN        NaN      0.1000        True   
69                   0.416864       NaN        NaN      0.1000        True   
70                   0.038186       NaN        NaN      0.1000        True   
71                   0.023866       NaN        NaN      0.1000        True   
72                   0.023866       NaN        NaN      0.1000        True   
73                   0.222754       NaN        NaN      0.0545        True   
74                   0.391408       NaN        NaN      0.0545        True   
75                   0.498010       NaN        NaN      0.1000        True   
76                   0.335718       NaN        NaN      0.1000        True   
77                   0.343675       NaN        NaN      0.1000        True   
78                   0.189341       NaN        NaN      0.1000        True   
79                   0.469370       NaN        NaN      0.0545        True   
80                   0.731900       NaN        NaN      0.1000        True   
81                   0.537790       NaN        NaN      0.0431        True   
82                   1.288783       NaN        NaN      0.1000        True   
83                   0.144788       NaN        NaN      0.0545        True   
84                   0.650754       NaN        NaN      0.0431        True   
85                   0.259346       NaN        NaN      0.1000        True   
86                   0.023866       NaN        NaN      0.0285        True   
87                   0.434368       NaN        NaN      0.0703        True   
88                   0.052506       NaN        NaN      0.1000        True   
89                   0.038186       NaN        NaN      0.0431        True   
90                   0.033413       NaN        NaN      0.1000        True   
91                   0.023866       NaN        NaN      0.1000        True   
92                   0.033413       NaN        NaN      0.1000        True   
93                   0.023866       NaN        NaN      0.1000        True   
94                   0.023866       NaN        NaN      0.1000        True   
95                   0.009547       NaN        NaN      0.1000        True   
96                   0.042959       NaN        NaN      0.0285        True   
97                   0.023866       NaN        NaN      0.1000        True   
98                   0.023866       NaN        NaN      0.1000        True   
99                   0.019093       NaN        NaN      0.1000        True   
100                  0.028640       NaN        NaN      0.1000        True   
101                  0.023866       NaN        NaN      0.1000        True   
102                  0.023866       NaN        NaN      0.1000        True   
103                  1.202864       NaN        NaN      0.0825        True   
